acquisition_channel,cancel_year_month,duration_month,fiber_or_adsl,has_retention,offer,recruit_year_month,sub_offer,total_bill,churn
phone,2016-01,0,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,N
outgoing call - promo,2017-11,22,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,410,N
phone,2018-05,16,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,760,N
phone,2016-05,4,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,90,N
online,2018-05,28,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2090,N
phone,2017-03,2,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,N
online,2018-01,24,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,930,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,4390,N
phone,2018-04,15,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1010,N
online,2016-03,2,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,40,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2980,N
outgoing call - promo,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3380,N
online,2016-12,11,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,370,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2580,N
phone,N/A,N/A,fiber,TRUE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,4210,N
phone,2018-10,33,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1740,N
online,2016-01,0,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,N
pos,2019-04,27,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1420,N
phone,2017-10,9,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3550,N
phone,2017-08,19,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,900,N
online,2019-05,28,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1190,N
online,2016-10,9,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,80,N
online,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2400,N
phone,2021-06,65,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3240,N
phone,2018-01,24,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1290,N
phone,2016-09,8,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,N
phone,2018-12,23,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1100,N
online,2016-07,6,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,300,N
outgoing call - promo,2018-04,15,fiber,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,240,N
phone,2017-09,8,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,170,N
phone,2018-12,35,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2040,N
online,2018-02,25,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1060,N
pos,2017-03,2,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,N
online,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2630,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2440,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3900,N
phone,2018-08,31,fiber,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1530,N
online,2018-05,16,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,570,N
online,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3230,N
outgoing call - promo,2018-10,33,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1000,N
online,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2420,N
outgoing call - promo,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3190,N
phone,2017-11,22,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,750,N
phone,2016-11,10,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,350,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2940,N
phone,N/A,N/A,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2840,N
online,2016-01,0,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2790,N
pos,2019-02,25,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1040,N
phone,2017-08,7,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,80,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,4550,N
online,2018-02,13,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,620,N
online,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,5750,N
phone,2017-06,5,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,240,N
outgoing call - promo,2018-03,14,fiber,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,210,N
phone,2017-02,1,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,50,N
phone,N/A,N/A,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,3460,N
phone,2018-09,32,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1640,N
outgoing call - promo,2017-09,8,fiber,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,60,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3200,N
online,2017-10,9,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,420,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2400,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2900,N
outgoing call - promo,2019-06,41,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2350,N
pos,2020-09,56,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3480,N
online,2017-12,23,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1100,N
outgoing call - promo,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2110,N
outgoing call - promo,2016-12,11,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,780,N
phone,2018-07,18,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1140,N
online,2019-02,25,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1480,N
phone,2020-11,46,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1900,N
phone,2018-11,22,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1060,N
online,2017-02,1,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,N
online,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3100,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2920,N
pos,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2300,N
online,2020-06,41,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2440,N
pos,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2830,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2870,N
phone,2016-02,1,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,N
phone,N/A,N/A,fiber,TRUE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2420,N
phone,2018-04,15,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,680,N
phone,2017-05,16,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,940,N
online,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,5810,N
phone,2016-04,3,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,170,N
outgoing call - promo,2017-06,5,adsl,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,0,N
online,2016-08,7,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,120,N
pos,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3050,N
pos,2018-07,18,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,830,N
outgoing call - promo,2019-09,32,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1140,N
outgoing call - promo,2018-08,19,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,580,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2840,N
online,2018-06,17,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1350,N
pos,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3780,N
outgoing call - promo,2019-11,46,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1750,N
phone,2017-01,0,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,0,N
outgoing call - promo,2017-03,14,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,410,N
outgoing call - promo,2018-02,13,adsl,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,240,N
online,2017-08,19,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,820,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2460,N
outgoing call - promo,2017-07,6,fiber,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,100,N
pos,2016-10,9,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,290,N
online,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2900,N
pos,2020-02,49,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2340,N
online,2016-06,5,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,280,N
outgoing call - promo,2017-12,11,adsl,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,150,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2860,N
phone,2020-10,45,adsl,TRUE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2050,N
online,2019-04,39,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1440,N
online,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2450,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2370,N
online,2017-11,10,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,480,N
online,2019-03,38,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,1660,N
pos,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2470,N
phone,2019-08,43,fiber,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,2450,N
mail,2020-06,53,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2140,N
online,2017-06,5,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,300,N
outgoing call - promo,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1960,N
online,2018-01,12,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,550,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3780,N
phone,2018-11,34,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1540,N
online,2018-03,26,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1070,N
phone,2020-11,46,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1910,N
outgoing call - promo,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2610,N
online,2019-01,24,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1060,N
pos,2018-04,15,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,850,N
outgoing call - promo,2018-03,26,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,670,N
outgoing call - promo,2018-11,22,fiber,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,530,N
pos,2018-01,12,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,550,N
phone,2018-11,22,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1060,N
online,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2870,N
outgoing call - promo,2019-10,45,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2340,N
outgoing call - promo,N/A,N/A,adsl,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,2980,N
online,2018-11,22,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,890,N
online,2020-01,36,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2020,N
online,2017-11,22,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,630,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2410,N
phone,2020-01,48,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1960,N
online,2021-10,69,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2840,N
phone,2020-07,42,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1770,N
pos,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2900,N
online,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3140,N
online,2019-02,25,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1000,N
online,2016-01,0,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,N
phone,2018-01,12,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,550,N
outgoing call - promo,2018-03,26,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1070,N
phone,2017-10,9,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,460,N
online,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2550,N
phone,2016-01,0,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,0,N
phone,2016-08,7,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.2:Freebox Revolution 2999eur,330,N
outgoing call - promo,2017-07,18,adsl,FALSE,#8:Freebox Revolution 2999eur,2016-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,600,N
outgoing call - promo,2020-12,47,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1550,N
pos,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,2940,N
online,2017-03,14,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,600,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,3810,N
online,2016-11,10,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,420,N
phone,2017-09,8,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,270,N
phone,2021-11,70,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3050,N
pos,2018-05,16,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,670,N
online,2017-08,7,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,330,N
online,2019-07,30,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,1270,N
outgoing call - promo,2018-01,12,fiber,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,160,N
phone,2018-09,32,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1310,N
outgoing call - promo,2019-04,27,adsl,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,940,N
phone,2018-02,25,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,1110,N
phone,N/A,N/A,adsl,FALSE,#11:Freebox Revolution with TV 3999eur,2017-01,11.4:Freebox Revolution with TV 3999eur,2560,N
outgoing call - promo,2020-11,46,fiber,FALSE,#8:Freebox Revolution 2999eur,2017-01,8.57:Freebox Revolution 2999eur | Promo : 999eur for 1 year,1950,N
phone,N/A,N/A,fiber,FALSE,#11:Freebox Revolution with TV 3999eur,2016-01,11.4:Freebox Revolution with TV 3999eur,3160,N
